t	P	cov	vg_gcta	vg_GRMvarX	vg_GRMld	vg_gcta_wganc	vg_GRMvarX_ganc	vg_GRMld_ganc	var.prs.geno	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	exp.vgamma
18	0	pos	0.9941147	0.9990765	1.0731472	0.9933916	0.9983431	1.0193995	1.07586566119915	0.482367538079311	0.0195887302102794	0.0792652489334835	0.938410406056824	0.0601549651290152	0.00471930653058401	1.08254992664991	0.144139520593083
18	0.9	neg	1.0039124	1.0432227	0.9724603	1.004	1.0433151	0.9732284	0.971160033797258	0.482367538079311	0.155208998135959	-0.0747603240632439	0.938410406056824	0.0601549651290152	0.0373928698106249	0.96119791693322	0.0227875108763962
18	0.9	pos	1.0039139	1.0429412	1.6763815	1.003072	1.0419583	0.9722275	1.6793913746782	0.482367538079311	0.155208998135959	0.628048870033823	0.938410406056824	0.0601549651290152	0.0373928698106249	1.66400711103029	0.725596704973463
19	0	neg	0.9994667	1.0040925	0.9924288	0.9995324	1.0041589	0.9929714	0.990865675925854	0.499999999999999	0.0182769640341526	-0.0088035601704521	0.938770132112654	0.0602298678873466	0.00440327651663518	0.994599716346183	0.0558295842335296
19	0	pos	0.9971582	1.0017373	1.0794381	0.997134	1.0017106	1.0390068	1.08259884937558	0.499999999999999	0.0182769640341526	0.0739572237895848	0.938770132112654	0.0602298678873466	0.00440327651663518	1.07736050030622	0.138590368193567
19	0.9	neg	1.0008854	1.0387341	0.9668249	1.0009307	1.0387732	0.9676331	0.96828703206026	0.499999999999999	0.151242140342118	-0.0728495870715615	0.938770132112654	0.0602298678873466	0.0364371765272212	0.96258758945566	0.0238174573430063
19	0.9	pos	1.0027075	1.0411294	1.6598058	1.0021353	1.0404608	0.9735584	1.6537188899255	0.499999999999999	0.151242140342118	0.611997090917098	0.938770132112654	0.0602298678873466	0.0364371765272212	1.64743426744432	0.708664135331666
20	0	neg	0.9918598	0.9958989	0.9876955	0.9919383	0.9959772	0.9879616	0.993751203711308	0.517031835537577	0.0170530261185299	-0.00821401963927047	0.939117604578442	0.0601599811426662	0.00410840604079411	0.995171972122632	0.0560543675441899
20	0	pos	0.9958814	1.0001336	1.061276	0.9952771	0.9995222	1.0190126	1.06474664592697	0.517031835537577	0.0170530261185299	0.0690045932454135	0.939117604578442	0.0601599811426662	0.00410840604079411	1.07239058500732	0.133272980428874
20	0.9	neg	0.9989993	1.0358778	0.9603417	0.9990459	1.0359289	0.9610513	0.959519395359396	0.517031835537577	0.147011598276771	-0.070811839907628	0.939117604578442	0.0601599811426662	0.0354179565684705	0.96388370238195	0.0247660978035087
20	0.9	pos	1.0012411	1.0381682	1.6393662	1.0004138	1.0372141	0.97326	1.63796148072404	0.517031835537577	0.147011598276771	0.594878320770511	0.939117604578442	0.0601599811426662	0.0354179565684705	1.62957386306009	0.690456258481647
