t	P	cov	vg_HEreg_noa.mean	vg_HEreg_noa.CI95l	vg_HEreg_noa.CI95r	vg_HEreg_adj.mean	vg_HEreg_adj.CI95l	vg_HEreg_adj.CI95r	exp.vg	va.term1	va.term2	va.term3	va.term4	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
2	0.9	neg	0.03167842	0.03049971	0.03320898	0.04301092	0.0424959	0.04352432	0.94467949	0.938770132	0.060229868	0.054357456	-0.108677965	0.05920998	0.05836846	0.05999812	0.04357787	0.04228411	0.04525834	0.04354106	0.04215585	0.04502894	0.9415658	0.9348357	0.9488976	0.9407149	0.9347473	0.9464477
2	0.9	pos	5.98170223	5.92742613	6.03776502	0.04253876	0.04169844	0.04330631	1.966342708	0.938770132	0.060229868	0.054357456	0.912985252	0.05872112	0.05759644	0.05993073	7.14621387	7.07010464	7.20941496	7.147026	7.06693544	7.22896784	0.9331813	0.921291	0.9438229	1.9683765	1.9575429	1.9802937
20	0	neg	0.9893284	0.97072851	1.00935231	0.987594	0.96615838	1.01024074	0.998999943	0.938770132	0.060229868	5.74e-08	-1.15e-07	0.98877116	0.97023439	1.00648191	0.98788846	0.96780463	1.00554517	0.9884934	0.96946752	1.0078583	0.993971	0.9823239	1.0041498	0.9942405	0.9817256	1.0064421
20	0	pos	0.99969161	0.98532037	1.01719168	0.99879301	0.98184888	1.01494713	0.999001022	0.938770132	0.060229868	5.74e-08	9.65e-07	0.99877633	0.98148663	1.01734745	0.99907781	0.97908694	1.01597987	0.99908564	0.98254112	1.01425069	0.9986275	0.9899264	1.0064437	0.9991913	0.9902819	1.0066373
20	0.9	neg	0.17270456	0.16904752	0.17656101	0.19606794	0.1931011	0.19988852	0.977423116	0.938770132	0.060229868	0.02159156	-0.043168444	0.22153296	0.21694195	0.22571112	0.19603073	0.19216746	0.19955675	0.19550497	0.19218306	0.20062198	0.9774957	0.968811	0.9880845	0.9776911	0.9681261	0.9883819
20	0.9	pos	5.24044863	5.17697182	5.30579263	0.19422403	0.19152864	0.19697452	1.383242374	0.938770132	0.060229868	0.02159156	0.362650815	0.22004604	0.21631673	0.22365823	5.58482175	5.49623367	5.66192249	5.57984129	5.4932291	5.67277945	0.9758842	0.9648873	0.9856833	1.3895068	1.3741839	1.4029934
3	0	neg	0.64319923	0.6291321	0.65584548	0.65208844	0.63638661	0.66822265	0.991476384	0.938770132	0.060229868	0.007528733	-0.01505235	0.6694544	0.65400588	0.68315081	0.66127658	0.64737569	0.67800919	0.66170921	0.64477075	0.67770319	0.995812	0.9853319	1.0076707	0.993715	0.9794103	1.0052354
3	0	pos	2.92390281	2.81414105	3.02267931	0.64215435	0.63237094	0.65016647	1.132980984	0.938770132	0.060229868	0.007528733	0.126452251	0.66119307	0.65235332	0.67288956	2.95655011	2.85541946	3.05445785	2.95383372	2.86006836	3.05059037	0.9883982	0.9808743	0.9974661	1.1371767	1.1248398	1.1467575
3	0.9	neg	0.03456987	0.03387803	0.03545796	0.04721571	0.04668801	0.04795244	0.947395516	0.938770132	0.060229868	0.051639583	-0.103244067	0.06397335	0.06317526	0.0650178	0.04679893	0.04609172	0.04770236	0.04683943	0.0460355	0.04769893	0.9399972	0.9341657	0.9489546	0.9414439	0.9350368	0.951423
3	0.9	pos	5.96640807	5.88228983	6.06156879	0.04619828	0.04563402	0.04681418	1.917975573	0.938770132	0.060229868	0.051639583	0.86733599	0.06266713	0.06176083	0.0636216	7.05408072	6.94097989	7.1416085	7.05531878	6.97718879	7.14721262	0.9270281	0.9188058	0.9373266	1.907942	1.8916024	1.9216882
4	0	neg	0.86738246	0.85114393	0.88256139	0.86867988	0.85244543	0.88447963	0.995238192	0.938770132	0.060229868	0.003764367	-0.007526175	0.877711	0.8575687	0.89303668	0.87637456	0.85955233	0.89175764	0.87633583	0.86039952	0.8917537	0.9947627	0.9806029	1.0068163	0.9949645	0.9818413	1.0055234
4	0	pos	1.74241439	1.68565564	1.79829038	0.87790886	0.86376485	0.89044131	1.065990492	0.938770132	0.060229868	0.003764367	0.063226125	0.88789751	0.87605155	0.9031618	1.74743142	1.6782264	1.81278077	1.74184557	1.68519884	1.80252051	0.9971418	0.9856954	1.0074996	1.0761855	1.063435	1.0891083
4	0.9	neg	0.03825002	0.03719696	0.03911977	0.05196122	0.05079228	0.05311118	0.94997574	0.938770132	0.060229868	0.049057604	-0.098081864	0.06942512	0.06812703	0.07072599	0.05110206	0.04976553	0.05236539	0.05115353	0.05001678	0.05232651	0.9533371	0.9409061	0.9624918	0.9520184	0.9436042	0.9622811
4	0.9	pos	5.9219976	5.8625883	5.97493323	0.05111669	0.04996827	0.0521426	1.872026794	0.938770132	0.060229868	0.049057604	0.82396919	0.06816696	0.06671727	0.06972336	6.9490401	6.88725286	7.00673983	6.95381852	6.8871497	7.01859178	0.9410433	0.9314723	0.9490568	1.8665769	1.8514645	1.8775935
5	0	neg	0.95742405	0.93972574	0.97451333	0.95528246	0.93839149	0.96959593	0.997119096	0.938770132	0.060229868	0.001882183	-0.003763087	0.96002222	0.94225768	0.97624907	0.96029386	0.93952787	0.98297949	0.96030338	0.9422518	0.98007011	0.9959438	0.9854414	1.0083396	0.9978486	0.9847726	1.0098676
5	0	pos	1.19032344	1.17523803	1.20972218	0.9402304	0.92435185	0.95840277	1.032495246	0.938770132	0.060229868	0.001882183	0.031613063	0.94470959	0.93135797	0.95735667	1.19495954	1.17685126	1.21830569	1.19418923	1.17127541	1.21652347	0.9839246	0.9754976	0.9930201	1.0214763	1.0129911	1.0283013
5	0.9	neg	0.0418983	0.04097916	0.04278447	0.05657601	0.05553557	0.05791674	0.952426953	0.938770132	0.060229868	0.046604724	-0.093177771	0.07455929	0.07289617	0.07604449	0.05524732	0.05423554	0.05637327	0.0552467	0.05428794	0.05616719	0.9534173	0.9435328	0.9647305	0.9528215	0.9427529	0.9639855
5	0.9	pos	5.83775851	5.71980084	5.9252843	0.05586826	0.05472628	0.05745544	1.828375454	0.938770132	0.060229868	0.046604724	0.782770731	0.07373946	0.07199714	0.0762211	6.80501723	6.69207092	6.9230808	6.78105129	6.63978296	6.92301276	0.9475516	0.9329061	0.9673468	1.8200733	1.7923886	1.8488751
6	0	neg	0.9904994	0.970759	1.00811356	0.99132289	0.97505785	1.00765132	0.998059548	0.938770132	0.060229868	0.000941092	-0.001881544	0.99406155	0.97564408	1.00875023	0.99363507	0.97326367	1.01156357	0.99491909	0.97469913	1.01645427	1.0012375	0.9909662	1.0134498	1.0011055	0.9884482	1.011482
6	0	pos	1.09303835	1.07716712	1.11141171	1.00399212	0.98493308	1.02367283	1.015747623	0.938770132	0.060229868	0.000941092	0.015806531	1.00443799	0.98922373	1.02033963	1.09606851	1.07308811	1.11548182	1.09452408	1.07521848	1.11393446	1.0049868	0.9947101	1.0151414	1.0279113	1.0187624	1.0384381
6	0.9	neg	0.0464839	0.04552964	0.04753736	0.06132403	0.06030503	0.06243218	0.954755605	0.938770132	0.060229868	0.044274487	-0.088518882	0.07999146	0.07853629	0.08153528	0.06059619	0.05933779	0.06178646	0.06070606	0.05951858	0.06189022	0.9517487	0.9400952	0.9635323	0.9518651	0.9439112	0.9627976
6	0.9	pos	5.8706371	5.81531991	5.93312025	0.05985711	0.0587463	0.0608115	1.786906682	0.938770132	0.060229868	0.044274487	0.743632194	0.07798611	0.07661484	0.07941903	6.7872999	6.71258513	6.86346573	6.79239221	6.71474035	6.85719794	0.9393772	0.9279128	0.9490186	1.7784368	1.7627796	1.7917253
7	0	neg	0.98768415	0.96836241	1.00860063	0.98741606	0.97236177	1.00638274	0.998529774	0.938770132	0.060229868	0.000470546	-0.000940772	0.98610728	0.97104204	1.00496191	0.99053728	0.97491443	1.00886469	0.98880612	0.97017577	1.00709982	0.9969442	0.9868908	1.0079303	0.9969544	0.9872875	1.0071668
